year_film,year_ceremony,ceremony,category,name,film,winner,year_film_film,imdbID,imdbLink
1978,1979,51,DOCUMENTARY (Feature),"Albert Lamorisse, Producer",The Lovers' Wind,FALSE,1978The Lovers' Wind,tt0080087,https://www.imdb.com/title/tt0080087/
1978,1979,51,DOCUMENTARY (Feature),"Alan Root, Producer",Mysterious Castles of Clay,FALSE,1978Mysterious Castles of Clay,tt0077966,https://www.imdb.com/title/tt0077966/
1978,1979,51,DOCUMENTARY (Feature),"Jean-Pierre Dutilleux, Barry Williams and Michel Gast, Producers",Raoni,FALSE,1978Raoni,tt0078140,https://www.imdb.com/title/tt0078140/
1978,1979,51,DOCUMENTARY (Feature),"Arnold Shapiro, Producer",Scared Straight!,TRUE,1978Scared Straight!,tt0078205,https://www.imdb.com/title/tt0078205/
1978,1979,51,DOCUMENTARY (Feature),"Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers",With Babies and Banners: Story of the Women's Emergency Brigade,FALSE,1978With Babies and Banners: Story of the Women's Emergency Brigade,tt0078501,https://www.imdb.com/title/tt0078501/
1978,1979,51,DOCUMENTARY (Short Subject),"Jerry Aronson, Producer",The Divided Trail: A Native American Odyssey,FALSE,1978The Divided Trail: A Native American Odyssey,tt0077442,https://www.imdb.com/title/tt0077442/
1978,1979,51,DOCUMENTARY (Short Subject),"K.K. Kapil, Producer",An Encounter with Faces,FALSE,1978An Encounter with Faces,tt0077502,https://www.imdb.com/title/tt0077502/
1978,1979,51,DOCUMENTARY (Short Subject),"Jacqueline Phillips Shedd and Ben Shedd, Producers",The Flight of the Gossamer Condor,TRUE,1978The Flight of the Gossamer Condor,tt0077564,https://www.imdb.com/title/tt0077564/
1978,1979,51,DOCUMENTARY (Short Subject),"August Cinquegrana, Producer",Goodnight Miss Ann,FALSE,1978Goodnight Miss Ann,tt0077624,https://www.imdb.com/title/tt0077624/
1978,1979,51,DOCUMENTARY (Short Subject),"J. Gary Mitchell, Producer",Squires of San Quentin,FALSE,1978Squires of San Quentin,tt0078314,https://www.imdb.com/title/tt0078314/
1978,1979,51,FILM EDITING,Robert E. Swink,The Boys from Brazil,FALSE,1978The Boys from Brazil,tt0077269,https://www.imdb.com/title/tt0077269/
1978,1979,51,FILM EDITING,Don Zimmerman,Coming Home,FALSE,1978Coming Home,tt0077362,https://www.imdb.com/title/tt0077362/
1978,1979,51,FILM EDITING,Peter Zinner,The Deer Hunter,TRUE,1978The Deer Hunter,tt0077416,https://www.imdb.com/title/tt0077416/
1978,1979,51,FILM EDITING,Gerry Hambling,Midnight Express,FALSE,1978Midnight Express,tt0077928,https://www.imdb.com/title/tt0077928/
1978,1979,51,FILM EDITING,Stuart Baird,Superman,FALSE,1978Superman,tt0078346,https://www.imdb.com/title/tt0078346/
1978,1979,51,FOREIGN LANGUAGE FILM,France,Get Out Your Handkerchiefs,TRUE,1978Get Out Your Handkerchiefs,tt0078122,https://www.imdb.com/title/tt0078122/
1978,1979,51,FOREIGN LANGUAGE FILM,German Federal Republic,The Glass Cell,FALSE,1978The Glass Cell,tt0077615,https://www.imdb.com/title/tt0077615/
1978,1979,51,FOREIGN LANGUAGE FILM,Hungary,Hungarians,FALSE,1978Hungarians,tt0077891,https://www.imdb.com/title/tt0077891/
1978,1979,51,FOREIGN LANGUAGE FILM,Italy,Viva Italia!,FALSE,1978Viva Italia!,tt0078012,https://www.imdb.com/title/tt0078012/
1978,1979,51,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,White Bim Black Ear,FALSE,1978White Bim Black Ear,tt0077222,https://www.imdb.com/title/tt0077222/
1978,1979,51,MUSIC (Adaptation Score),Joe Renzetti,The Buddy Holly Story,TRUE,1978The Buddy Holly Story,tt0077280,https://www.imdb.com/title/tt0077280/
1978,1979,51,MUSIC (Adaptation Score),Jerry Wexler,Pretty Baby,FALSE,1978Pretty Baby,tt0078111,https://www.imdb.com/title/tt0078111/
1978,1979,51,MUSIC (Adaptation Score),Quincy Jones,The Wiz,FALSE,1978The Wiz,tt0078504,https://www.imdb.com/title/tt0078504/
1978,1979,51,MUSIC (Original Score),Jerry Goldsmith,The Boys from Brazil,FALSE,1978The Boys from Brazil,tt0077269,https://www.imdb.com/title/tt0077269/
1978,1979,51,MUSIC (Original Score),Ennio Morricone,Days of Heaven,FALSE,1978Days of Heaven,tt0077405,https://www.imdb.com/title/tt0077405/
1978,1979,51,MUSIC (Original Score),Dave Grusin,Heaven Can Wait,FALSE,1978Heaven Can Wait,tt0077663,https://www.imdb.com/title/tt0077663/
